0 tensor(326888.0938, grad_fn=<MeanBackward0>)
1 tensor(315447.6250, grad_fn=<MeanBackward0>)
2 tensor(315447.6250, grad_fn=<MeanBackward0>)
3 tensor(314589.8125, grad_fn=<MeanBackward0>)
4 tensor(282522.6875, grad_fn=<MeanBackward0>)
5 tensor(280463.4062, grad_fn=<MeanBackward0>)
6 tensor(280463.4062, grad_fn=<MeanBackward0>)
7 tensor(280463.4062, grad_fn=<MeanBackward0>)
8 tensor(280463.4062, grad_fn=<MeanBackward0>)
9 tensor(262412.3125, grad_fn=<MeanBackward0>)
10 tensor(219312.8750, grad_fn=<MeanBackward0>)
11 tensor(219312.8750, grad_fn=<MeanBackward0>)
12 tensor(208695.5312, grad_fn=<MeanBackward0>)
13 tensor(205003.0469, grad_fn=<MeanBackward0>)
14 tensor(205003.0469, grad_fn=<MeanBackward0>)
15 tensor(205003.0469, grad_fn=<MeanBackward0>)
16 tensor(205003.0469, grad_fn=<MeanBackward0>)
17 tensor(205003.0469, grad_fn=<MeanBackward0>)
18 tensor(205003.0469, grad_fn=<MeanBackward0>)
19 tensor(170773.4688, grad_fn=<MeanBackward0>)
20 tensor(170773.4688, grad_fn=<MeanBackward0>)
21 tensor(142526.7031, grad_fn=<MeanBackward0>)
22 tensor(142147.3594, grad_fn=<MeanBackward0>)
23 tensor(142147.3594, grad_fn=<MeanBackward0>)
24 tensor(142147.3594, grad_fn=<MeanBackward0>)
25 tensor(142147.3594, grad_fn=<MeanBackward0>)
26 tensor(141650.6094, grad_fn=<MeanBackward0>)
27 tensor(138826.1875, grad_fn=<MeanBackward0>)
28 tensor(121341.9062, grad_fn=<MeanBackward0>)
29 tensor(121341.9062, grad_fn=<MeanBackward0>)
30 tensor(111663.7734, grad_fn=<MeanBackward0>)
31 tensor(111663.7734, grad_fn=<MeanBackward0>)
32 tensor(111663.7734, grad_fn=<MeanBackward0>)
33 tensor(111663.7734, grad_fn=<MeanBackward0>)
34 tensor(111661.6484, grad_fn=<MeanBackward0>)
35 tensor(111661.6484, grad_fn=<MeanBackward0>)
36 tensor(111661.6484, grad_fn=<MeanBackward0>)
37 tensor(111661.6484, grad_fn=<MeanBackward0>)
38 tensor(111661.6484, grad_fn=<MeanBackward0>)
39 tensor(111661.6484, grad_fn=<MeanBackward0>)
40 tensor(111661.6484, grad_fn=<MeanBackward0>)
41 tensor(111661.6484, grad_fn=<MeanBackward0>)
42 tensor(111661.6484, grad_fn=<MeanBackward0>)
43 tensor(111661.6484, grad_fn=<MeanBackward0>)
44 tensor(111661.6484, grad_fn=<MeanBackward0>)
