0 tensor(268307.5000, grad_fn=<MeanBackward0>)
1 tensor(268307.5000, grad_fn=<MeanBackward0>)
2 tensor(225627.2500, grad_fn=<MeanBackward0>)
3 tensor(204603.7656, grad_fn=<MeanBackward0>)
4 tensor(204603.7656, grad_fn=<MeanBackward0>)
5 tensor(204603.7656, grad_fn=<MeanBackward0>)
6 tensor(128214.6406, grad_fn=<MeanBackward0>)
7 tensor(128214.6406, grad_fn=<MeanBackward0>)
8 tensor(128214.6406, grad_fn=<MeanBackward0>)
9 tensor(128214.6406, grad_fn=<MeanBackward0>)
10 tensor(128214.6406, grad_fn=<MeanBackward0>)
11 tensor(128214.6406, grad_fn=<MeanBackward0>)
12 tensor(128214.6406, grad_fn=<MeanBackward0>)
13 tensor(128214.6406, grad_fn=<MeanBackward0>)
14 tensor(128214.6406, grad_fn=<MeanBackward0>)
15 tensor(128214.6406, grad_fn=<MeanBackward0>)
16 tensor(128214.6406, grad_fn=<MeanBackward0>)
17 tensor(128214.6406, grad_fn=<MeanBackward0>)
18 tensor(128214.6406, grad_fn=<MeanBackward0>)
19 tensor(128214.6406, grad_fn=<MeanBackward0>)
20 tensor(128214.6406, grad_fn=<MeanBackward0>)
21 tensor(128214.6406, grad_fn=<MeanBackward0>)
22 tensor(128214.6406, grad_fn=<MeanBackward0>)
23 tensor(128214.6406, grad_fn=<MeanBackward0>)
24 tensor(128214.6406, grad_fn=<MeanBackward0>)
25 tensor(128214.6406, grad_fn=<MeanBackward0>)
26 tensor(124960.0078, grad_fn=<MeanBackward0>)
27 tensor(124960.0078, grad_fn=<MeanBackward0>)
28 tensor(124960.0078, grad_fn=<MeanBackward0>)
29 tensor(124960.0078, grad_fn=<MeanBackward0>)
30 tensor(124960.0078, grad_fn=<MeanBackward0>)
31 tensor(124960.0078, grad_fn=<MeanBackward0>)
32 tensor(124960.0078, grad_fn=<MeanBackward0>)
33 tensor(124960.0078, grad_fn=<MeanBackward0>)
34 tensor(124960.0078, grad_fn=<MeanBackward0>)
