0 tensor(323321.5625, grad_fn=<MeanBackward0>)
1 tensor(313783.8125, grad_fn=<MeanBackward0>)
2 tensor(277410.2500, grad_fn=<MeanBackward0>)
3 tensor(277410.2500, grad_fn=<MeanBackward0>)
4 tensor(277410.2500, grad_fn=<MeanBackward0>)
5 tensor(273081.2500, grad_fn=<MeanBackward0>)
6 tensor(240015.6406, grad_fn=<MeanBackward0>)
7 tensor(240015.6406, grad_fn=<MeanBackward0>)
8 tensor(226818.6094, grad_fn=<MeanBackward0>)
9 tensor(226818.6094, grad_fn=<MeanBackward0>)
10 tensor(226818.6094, grad_fn=<MeanBackward0>)
11 tensor(226818.6094, grad_fn=<MeanBackward0>)
12 tensor(217450.2500, grad_fn=<MeanBackward0>)
13 tensor(217450.2500, grad_fn=<MeanBackward0>)
14 tensor(202081.2188, grad_fn=<MeanBackward0>)
15 tensor(202081.2188, grad_fn=<MeanBackward0>)
16 tensor(202081.2188, grad_fn=<MeanBackward0>)
17 tensor(202081.2188, grad_fn=<MeanBackward0>)
18 tensor(202081.2188, grad_fn=<MeanBackward0>)
19 tensor(202081.2188, grad_fn=<MeanBackward0>)
20 tensor(202081.2188, grad_fn=<MeanBackward0>)
21 tensor(202081.2188, grad_fn=<MeanBackward0>)
22 tensor(202081.2188, grad_fn=<MeanBackward0>)
23 tensor(202081.2188, grad_fn=<MeanBackward0>)
24 tensor(202081.2188, grad_fn=<MeanBackward0>)
25 tensor(202081.2188, grad_fn=<MeanBackward0>)
26 tensor(202081.2188, grad_fn=<MeanBackward0>)
27 tensor(177708.4531, grad_fn=<MeanBackward0>)
28 tensor(177708.4531, grad_fn=<MeanBackward0>)
29 tensor(177708.4531, grad_fn=<MeanBackward0>)
30 tensor(174120.0469, grad_fn=<MeanBackward0>)
31 tensor(174120.0469, grad_fn=<MeanBackward0>)
32 tensor(174120.0469, grad_fn=<MeanBackward0>)
33 tensor(174120.0469, grad_fn=<MeanBackward0>)
34 tensor(174120.0469, grad_fn=<MeanBackward0>)
35 tensor(174120.0469, grad_fn=<MeanBackward0>)
36 tensor(174120.0469, grad_fn=<MeanBackward0>)
37 tensor(174120.0469, grad_fn=<MeanBackward0>)
38 tensor(174120.0469, grad_fn=<MeanBackward0>)
39 tensor(174120.0469, grad_fn=<MeanBackward0>)
40 tensor(149859.0156, grad_fn=<MeanBackward0>)
41 tensor(149859.0156, grad_fn=<MeanBackward0>)
42 tensor(149859.0156, grad_fn=<MeanBackward0>)
43 tensor(149859.0156, grad_fn=<MeanBackward0>)
44 tensor(149859.0156, grad_fn=<MeanBackward0>)
45 tensor(149859.0156, grad_fn=<MeanBackward0>)
0 tensor(249764.1719, grad_fn=<MeanBackward0>)
1 tensor(238410.4219, grad_fn=<MeanBackward0>)
2 tensor(213846.5938, grad_fn=<MeanBackward0>)
3 tensor(213846.5938, grad_fn=<MeanBackward0>)
4 tensor(213846.5938, grad_fn=<MeanBackward0>)
5 tensor(213706.3281, grad_fn=<MeanBackward0>)
6 tensor(213706.3281, grad_fn=<MeanBackward0>)
7 tensor(213706.3281, grad_fn=<MeanBackward0>)
8 tensor(213706.3281, grad_fn=<MeanBackward0>)
9 tensor(213706.3281, grad_fn=<MeanBackward0>)
