0 tensor(285865.0312, grad_fn=<MeanBackward0>)
1 tensor(235559.0625, grad_fn=<MeanBackward0>)
2 tensor(227383.7031, grad_fn=<MeanBackward0>)
3 tensor(220684.8438, grad_fn=<MeanBackward0>)
4 tensor(206327.5625, grad_fn=<MeanBackward0>)
5 tensor(205709.7500, grad_fn=<MeanBackward0>)
6 tensor(176342.1719, grad_fn=<MeanBackward0>)
7 tensor(176342.1719, grad_fn=<MeanBackward0>)
8 tensor(159701.2812, grad_fn=<MeanBackward0>)
9 tensor(159701.2812, grad_fn=<MeanBackward0>)
10 tensor(146791.0312, grad_fn=<MeanBackward0>)
11 tensor(146791.0312, grad_fn=<MeanBackward0>)
12 tensor(136941.5000, grad_fn=<MeanBackward0>)
13 tensor(136941.5000, grad_fn=<MeanBackward0>)
14 tensor(136941.5000, grad_fn=<MeanBackward0>)
15 tensor(136941.5000, grad_fn=<MeanBackward0>)
16 tensor(136941.5000, grad_fn=<MeanBackward0>)
17 tensor(136941.5000, grad_fn=<MeanBackward0>)
18 tensor(110412.8750, grad_fn=<MeanBackward0>)
19 tensor(110412.8750, grad_fn=<MeanBackward0>)
20 tensor(110412.8750, grad_fn=<MeanBackward0>)
21 tensor(108723.6250, grad_fn=<MeanBackward0>)
22 tensor(108723.6250, grad_fn=<MeanBackward0>)
23 tensor(94424.2031, grad_fn=<MeanBackward0>)
24 tensor(94424.2031, grad_fn=<MeanBackward0>)
25 tensor(94424.2031, grad_fn=<MeanBackward0>)
26 tensor(94424.2031, grad_fn=<MeanBackward0>)
27 tensor(94424.2031, grad_fn=<MeanBackward0>)
28 tensor(94424.2031, grad_fn=<MeanBackward0>)
29 tensor(94424.2031, grad_fn=<MeanBackward0>)
30 tensor(94424.2031, grad_fn=<MeanBackward0>)
31 tensor(94424.2031, grad_fn=<MeanBackward0>)
32 tensor(94424.2031, grad_fn=<MeanBackward0>)
33 tensor(94424.2031, grad_fn=<MeanBackward0>)
34 tensor(94424.2031, grad_fn=<MeanBackward0>)
35 tensor(94424.2031, grad_fn=<MeanBackward0>)
36 tensor(94424.2031, grad_fn=<MeanBackward0>)
37 tensor(94424.2031, grad_fn=<MeanBackward0>)
38 tensor(94424.2031, grad_fn=<MeanBackward0>)
39 tensor(94424.2031, grad_fn=<MeanBackward0>)
40 tensor(94424.2031, grad_fn=<MeanBackward0>)
41 tensor(65048.8281, grad_fn=<MeanBackward0>)
42 tensor(65048.8281, grad_fn=<MeanBackward0>)
43 tensor(65048.8281, grad_fn=<MeanBackward0>)
44 tensor(65048.8281, grad_fn=<MeanBackward0>)
45 tensor(65048.8281, grad_fn=<MeanBackward0>)
46 tensor(65048.8281, grad_fn=<MeanBackward0>)
47 tensor(65048.8281, grad_fn=<MeanBackward0>)
48 tensor(65048.8281, grad_fn=<MeanBackward0>)
49 tensor(65048.8281, grad_fn=<MeanBackward0>)
50 tensor(65048.8281, grad_fn=<MeanBackward0>)
51 tensor(65048.8281, grad_fn=<MeanBackward0>)
52 tensor(65048.8281, grad_fn=<MeanBackward0>)
53 tensor(65048.8281, grad_fn=<MeanBackward0>)
54 tensor(65048.8281, grad_fn=<MeanBackward0>)
55 tensor(65048.8281, grad_fn=<MeanBackward0>)
56 tensor(65048.8281, grad_fn=<MeanBackward0>)
57 tensor(65048.8281, grad_fn=<MeanBackward0>)
58 tensor(65048.8281, grad_fn=<MeanBackward0>)
59 tensor(65048.8281, grad_fn=<MeanBackward0>)
60 tensor(65048.8281, grad_fn=<MeanBackward0>)
61 tensor(65048.8281, grad_fn=<MeanBackward0>)
62 tensor(65048.8281, grad_fn=<MeanBackward0>)
63 tensor(65048.8281, grad_fn=<MeanBackward0>)
64 tensor(65048.8281, grad_fn=<MeanBackward0>)
65 tensor(65048.8281, grad_fn=<MeanBackward0>)
66 tensor(60751.1250, grad_fn=<MeanBackward0>)
67 tensor(60751.1250, grad_fn=<MeanBackward0>)
68 tensor(60751.1250, grad_fn=<MeanBackward0>)
69 tensor(60751.1250, grad_fn=<MeanBackward0>)
70 tensor(60751.1250, grad_fn=<MeanBackward0>)
71 tensor(60751.1250, grad_fn=<MeanBackward0>)
72 tensor(60751.1250, grad_fn=<MeanBackward0>)
73 tensor(60751.1250, grad_fn=<MeanBackward0>)
74 tensor(60751.1250, grad_fn=<MeanBackward0>)
75 tensor(60751.1250, grad_fn=<MeanBackward0>)
76 tensor(60751.1250, grad_fn=<MeanBackward0>)
77 tensor(60751.1250, grad_fn=<MeanBackward0>)
78 tensor(60751.1250, grad_fn=<MeanBackward0>)
79 tensor(60751.1250, grad_fn=<MeanBackward0>)
80 tensor(60751.1250, grad_fn=<MeanBackward0>)
81 tensor(57246.0547, grad_fn=<MeanBackward0>)
82 tensor(57246.0547, grad_fn=<MeanBackward0>)
83 tensor(57246.0547, grad_fn=<MeanBackward0>)
84 tensor(57246.0547, grad_fn=<MeanBackward0>)
85 tensor(57246.0547, grad_fn=<MeanBackward0>)
86 tensor(57246.0547, grad_fn=<MeanBackward0>)
87 tensor(57246.0547, grad_fn=<MeanBackward0>)
88 tensor(57246.0547, grad_fn=<MeanBackward0>)
89 tensor(57246.0547, grad_fn=<MeanBackward0>)
90 tensor(57246.0547, grad_fn=<MeanBackward0>)
