0 tensor(357626.4375, grad_fn=<MeanBackward0>)
1 tensor(357626.4375, grad_fn=<MeanBackward0>)
2 tensor(299789.6875, grad_fn=<MeanBackward0>)
3 tensor(275222.1562, grad_fn=<MeanBackward0>)
4 tensor(274562.6875, grad_fn=<MeanBackward0>)
5 tensor(252810.0469, grad_fn=<MeanBackward0>)
6 tensor(210668.7031, grad_fn=<MeanBackward0>)
7 tensor(210668.7031, grad_fn=<MeanBackward0>)
8 tensor(210668.7031, grad_fn=<MeanBackward0>)
9 tensor(197459.2812, grad_fn=<MeanBackward0>)
10 tensor(197459.2812, grad_fn=<MeanBackward0>)
11 tensor(197022.3906, grad_fn=<MeanBackward0>)
12 tensor(193488.6562, grad_fn=<MeanBackward0>)
13 tensor(193488.6562, grad_fn=<MeanBackward0>)
14 tensor(193488.6562, grad_fn=<MeanBackward0>)
15 tensor(193488.6562, grad_fn=<MeanBackward0>)
16 tensor(193488.6562, grad_fn=<MeanBackward0>)
17 tensor(192128.8594, grad_fn=<MeanBackward0>)
18 tensor(192128.8594, grad_fn=<MeanBackward0>)
19 tensor(192128.8594, grad_fn=<MeanBackward0>)
20 tensor(192128.8594, grad_fn=<MeanBackward0>)
21 tensor(192128.8594, grad_fn=<MeanBackward0>)
22 tensor(192128.8594, grad_fn=<MeanBackward0>)
23 tensor(192128.8594, grad_fn=<MeanBackward0>)
24 tensor(192128.8594, grad_fn=<MeanBackward0>)
25 tensor(190987.1719, grad_fn=<MeanBackward0>)
26 tensor(190987.1719, grad_fn=<MeanBackward0>)
27 tensor(190987.1719, grad_fn=<MeanBackward0>)
28 tensor(190987.1719, grad_fn=<MeanBackward0>)
29 tensor(190987.1719, grad_fn=<MeanBackward0>)
30 tensor(190987.1719, grad_fn=<MeanBackward0>)
31 tensor(190987.1719, grad_fn=<MeanBackward0>)
32 tensor(190987.1719, grad_fn=<MeanBackward0>)
33 tensor(190987.1719, grad_fn=<MeanBackward0>)
34 tensor(190987.1719, grad_fn=<MeanBackward0>)
35 tensor(190987.1719, grad_fn=<MeanBackward0>)
36 tensor(189112.5312, grad_fn=<MeanBackward0>)
37 tensor(189112.5312, grad_fn=<MeanBackward0>)
38 tensor(189112.5312, grad_fn=<MeanBackward0>)
39 tensor(189112.5312, grad_fn=<MeanBackward0>)
40 tensor(189112.5312, grad_fn=<MeanBackward0>)
41 tensor(189112.5312, grad_fn=<MeanBackward0>)
42 tensor(140321.1250, grad_fn=<MeanBackward0>)
43 tensor(140321.1250, grad_fn=<MeanBackward0>)
44 tensor(140321.1250, grad_fn=<MeanBackward0>)
45 tensor(140321.1250, grad_fn=<MeanBackward0>)
46 tensor(140321.1250, grad_fn=<MeanBackward0>)
47 tensor(140321.1250, grad_fn=<MeanBackward0>)
48 tensor(129439.9922, grad_fn=<MeanBackward0>)
49 tensor(129439.9922, grad_fn=<MeanBackward0>)
50 tensor(129439.9922, grad_fn=<MeanBackward0>)
51 tensor(129439.9922, grad_fn=<MeanBackward0>)
52 tensor(129439.9922, grad_fn=<MeanBackward0>)
53 tensor(107506.2656, grad_fn=<MeanBackward0>)
54 tensor(107506.2656, grad_fn=<MeanBackward0>)
55 tensor(107506.2656, grad_fn=<MeanBackward0>)
56 tensor(95738.3359, grad_fn=<MeanBackward0>)
57 tensor(95738.3359, grad_fn=<MeanBackward0>)
58 tensor(95738.3359, grad_fn=<MeanBackward0>)
59 tensor(95738.3359, grad_fn=<MeanBackward0>)
60 tensor(95738.3359, grad_fn=<MeanBackward0>)
61 tensor(95738.3359, grad_fn=<MeanBackward0>)
62 tensor(95738.3359, grad_fn=<MeanBackward0>)
