0 tensor(345459.5000, grad_fn=<MeanBackward0>)
1 tensor(289545.8125, grad_fn=<MeanBackward0>)
2 tensor(265361.4062, grad_fn=<MeanBackward0>)
3 tensor(186041.5312, grad_fn=<MeanBackward0>)
4 tensor(186041.5312, grad_fn=<MeanBackward0>)
5 tensor(184994.8594, grad_fn=<MeanBackward0>)
6 tensor(168096.8125, grad_fn=<MeanBackward0>)
7 tensor(134374.5781, grad_fn=<MeanBackward0>)
8 tensor(134374.5781, grad_fn=<MeanBackward0>)
9 tensor(123650.3750, grad_fn=<MeanBackward0>)
10 tensor(123650.3750, grad_fn=<MeanBackward0>)
11 tensor(123650.3750, grad_fn=<MeanBackward0>)
12 tensor(123650.3750, grad_fn=<MeanBackward0>)
13 tensor(123650.3750, grad_fn=<MeanBackward0>)
14 tensor(123650.3750, grad_fn=<MeanBackward0>)
15 tensor(123650.3750, grad_fn=<MeanBackward0>)
16 tensor(123650.3750, grad_fn=<MeanBackward0>)
17 tensor(123650.3750, grad_fn=<MeanBackward0>)
18 tensor(123650.3750, grad_fn=<MeanBackward0>)
19 tensor(123650.3750, grad_fn=<MeanBackward0>)
20 tensor(123650.3750, grad_fn=<MeanBackward0>)
21 tensor(123650.3750, grad_fn=<MeanBackward0>)
22 tensor(123650.3750, grad_fn=<MeanBackward0>)
23 tensor(123650.3750, grad_fn=<MeanBackward0>)
24 tensor(123650.3750, grad_fn=<MeanBackward0>)
25 tensor(123650.3750, grad_fn=<MeanBackward0>)
26 tensor(123650.3750, grad_fn=<MeanBackward0>)
27 tensor(123650.3750, grad_fn=<MeanBackward0>)
28 tensor(123650.3750, grad_fn=<MeanBackward0>)
29 tensor(123650.3750, grad_fn=<MeanBackward0>)
30 tensor(123650.3750, grad_fn=<MeanBackward0>)
31 tensor(123650.3750, grad_fn=<MeanBackward0>)
32 tensor(123650.3750, grad_fn=<MeanBackward0>)
33 tensor(123650.3750, grad_fn=<MeanBackward0>)
34 tensor(123650.3750, grad_fn=<MeanBackward0>)
35 tensor(123650.3750, grad_fn=<MeanBackward0>)
36 tensor(123650.3750, grad_fn=<MeanBackward0>)
37 tensor(123650.3750, grad_fn=<MeanBackward0>)
38 tensor(123650.3750, grad_fn=<MeanBackward0>)
39 tensor(123650.3750, grad_fn=<MeanBackward0>)
40 tensor(123650.3750, grad_fn=<MeanBackward0>)
41 tensor(123650.3750, grad_fn=<MeanBackward0>)
42 tensor(123650.3750, grad_fn=<MeanBackward0>)
43 tensor(123650.3750, grad_fn=<MeanBackward0>)
44 tensor(123650.3750, grad_fn=<MeanBackward0>)
45 tensor(123650.3750, grad_fn=<MeanBackward0>)
