0 tensor(330309.9062, grad_fn=<MeanBackward0>)
1 tensor(297642.3438, grad_fn=<MeanBackward0>)
2 tensor(146223.7812, grad_fn=<MeanBackward0>)
3 tensor(146223.7812, grad_fn=<MeanBackward0>)
4 tensor(146223.7812, grad_fn=<MeanBackward0>)
5 tensor(140538.7500, grad_fn=<MeanBackward0>)
6 tensor(140538.7500, grad_fn=<MeanBackward0>)
7 tensor(138132.0469, grad_fn=<MeanBackward0>)
8 tensor(138132.0469, grad_fn=<MeanBackward0>)
9 tensor(138132.0469, grad_fn=<MeanBackward0>)
10 tensor(138132.0469, grad_fn=<MeanBackward0>)
11 tensor(138132.0469, grad_fn=<MeanBackward0>)
12 tensor(138132.0469, grad_fn=<MeanBackward0>)
13 tensor(138132.0469, grad_fn=<MeanBackward0>)
14 tensor(133255.7188, grad_fn=<MeanBackward0>)
15 tensor(133255.7188, grad_fn=<MeanBackward0>)
16 tensor(129874.2578, grad_fn=<MeanBackward0>)
17 tensor(129874.2578, grad_fn=<MeanBackward0>)
18 tensor(129874.2578, grad_fn=<MeanBackward0>)
19 tensor(129874.2578, grad_fn=<MeanBackward0>)
20 tensor(129874.2578, grad_fn=<MeanBackward0>)
21 tensor(129874.2578, grad_fn=<MeanBackward0>)
22 tensor(129874.2578, grad_fn=<MeanBackward0>)
23 tensor(129874.2578, grad_fn=<MeanBackward0>)
24 tensor(129874.2578, grad_fn=<MeanBackward0>)
25 tensor(129178.4219, grad_fn=<MeanBackward0>)
26 tensor(129178.4219, grad_fn=<MeanBackward0>)
27 tensor(128580.6484, grad_fn=<MeanBackward0>)
28 tensor(128580.6484, grad_fn=<MeanBackward0>)
29 tensor(128580.6484, grad_fn=<MeanBackward0>)
30 tensor(128580.6484, grad_fn=<MeanBackward0>)
31 tensor(128580.6484, grad_fn=<MeanBackward0>)
32 tensor(128580.6484, grad_fn=<MeanBackward0>)
33 tensor(128580.6484, grad_fn=<MeanBackward0>)
34 tensor(128580.6484, grad_fn=<MeanBackward0>)
35 tensor(128580.6484, grad_fn=<MeanBackward0>)
36 tensor(128580.6484, grad_fn=<MeanBackward0>)
37 tensor(128580.6484, grad_fn=<MeanBackward0>)
38 tensor(128580.6484, grad_fn=<MeanBackward0>)
39 tensor(128580.6484, grad_fn=<MeanBackward0>)
40 tensor(128580.6484, grad_fn=<MeanBackward0>)
41 tensor(128580.6484, grad_fn=<MeanBackward0>)
42 tensor(128580.6484, grad_fn=<MeanBackward0>)
43 tensor(128369.0625, grad_fn=<MeanBackward0>)
44 tensor(127255.0234, grad_fn=<MeanBackward0>)
45 tensor(127255.0234, grad_fn=<MeanBackward0>)
46 tensor(127255.0234, grad_fn=<MeanBackward0>)
47 tensor(126594.0469, grad_fn=<MeanBackward0>)
48 tensor(126594.0469, grad_fn=<MeanBackward0>)
49 tensor(117422.9531, grad_fn=<MeanBackward0>)
50 tensor(117422.9531, grad_fn=<MeanBackward0>)
51 tensor(117422.9531, grad_fn=<MeanBackward0>)
52 tensor(117422.9531, grad_fn=<MeanBackward0>)
53 tensor(117422.9531, grad_fn=<MeanBackward0>)
54 tensor(117422.9531, grad_fn=<MeanBackward0>)
55 tensor(117422.9531, grad_fn=<MeanBackward0>)
56 tensor(113449.6016, grad_fn=<MeanBackward0>)
57 tensor(113338.3359, grad_fn=<MeanBackward0>)
58 tensor(113260.7031, grad_fn=<MeanBackward0>)
59 tensor(113260.7031, grad_fn=<MeanBackward0>)
60 tensor(112989.5625, grad_fn=<MeanBackward0>)
61 tensor(112989.5625, grad_fn=<MeanBackward0>)
62 tensor(111642.9766, grad_fn=<MeanBackward0>)
63 tensor(111642.9766, grad_fn=<MeanBackward0>)
64 tensor(110291.0469, grad_fn=<MeanBackward0>)
65 tensor(110291.0469, grad_fn=<MeanBackward0>)
66 tensor(110291.0469, grad_fn=<MeanBackward0>)
67 tensor(110291.0469, grad_fn=<MeanBackward0>)
68 tensor(110291.0469, grad_fn=<MeanBackward0>)
69 tensor(110291.0469, grad_fn=<MeanBackward0>)
70 tensor(110291.0469, grad_fn=<MeanBackward0>)
71 tensor(110291.0469, grad_fn=<MeanBackward0>)
72 tensor(110291.0469, grad_fn=<MeanBackward0>)
73 tensor(110291.0469, grad_fn=<MeanBackward0>)
74 tensor(110291.0469, grad_fn=<MeanBackward0>)
75 tensor(110291.0469, grad_fn=<MeanBackward0>)
76 tensor(110291.0469, grad_fn=<MeanBackward0>)
77 tensor(110291.0469, grad_fn=<MeanBackward0>)
78 tensor(110291.0469, grad_fn=<MeanBackward0>)
79 tensor(110291.0469, grad_fn=<MeanBackward0>)
