0 tensor(291807.6875, grad_fn=<MeanBackward0>)
1 tensor(256769.1875, grad_fn=<MeanBackward0>)
2 tensor(250230.8594, grad_fn=<MeanBackward0>)
3 tensor(247072.8438, grad_fn=<MeanBackward0>)
4 tensor(247072.8438, grad_fn=<MeanBackward0>)
5 tensor(241848.0469, grad_fn=<MeanBackward0>)
6 tensor(241848.0469, grad_fn=<MeanBackward0>)
7 tensor(231991.3281, grad_fn=<MeanBackward0>)
8 tensor(148879.4844, grad_fn=<MeanBackward0>)
9 tensor(112920.0469, grad_fn=<MeanBackward0>)
10 tensor(112920.0469, grad_fn=<MeanBackward0>)
11 tensor(112920.0469, grad_fn=<MeanBackward0>)
12 tensor(112920.0469, grad_fn=<MeanBackward0>)
13 tensor(112920.0469, grad_fn=<MeanBackward0>)
14 tensor(112920.0469, grad_fn=<MeanBackward0>)
15 tensor(112920.0469, grad_fn=<MeanBackward0>)
16 tensor(112920.0469, grad_fn=<MeanBackward0>)
17 tensor(112920.0469, grad_fn=<MeanBackward0>)
18 tensor(112920.0469, grad_fn=<MeanBackward0>)
19 tensor(112920.0469, grad_fn=<MeanBackward0>)
20 tensor(112920.0469, grad_fn=<MeanBackward0>)
21 tensor(112920.0469, grad_fn=<MeanBackward0>)
22 tensor(112668.5156, grad_fn=<MeanBackward0>)
23 tensor(112668.5156, grad_fn=<MeanBackward0>)
24 tensor(112668.5156, grad_fn=<MeanBackward0>)
25 tensor(112668.5156, grad_fn=<MeanBackward0>)
26 tensor(112668.5156, grad_fn=<MeanBackward0>)
27 tensor(112668.5156, grad_fn=<MeanBackward0>)
28 tensor(112668.5156, grad_fn=<MeanBackward0>)
29 tensor(112668.5156, grad_fn=<MeanBackward0>)
30 tensor(112668.5156, grad_fn=<MeanBackward0>)
31 tensor(112668.5156, grad_fn=<MeanBackward0>)
32 tensor(112668.5156, grad_fn=<MeanBackward0>)
33 tensor(112668.5156, grad_fn=<MeanBackward0>)
34 tensor(112668.5156, grad_fn=<MeanBackward0>)
35 tensor(112558.6562, grad_fn=<MeanBackward0>)
36 tensor(112558.6562, grad_fn=<MeanBackward0>)
37 tensor(112127.9453, grad_fn=<MeanBackward0>)
38 tensor(112127.9453, grad_fn=<MeanBackward0>)
39 tensor(106214.2422, grad_fn=<MeanBackward0>)
40 tensor(106214.2422, grad_fn=<MeanBackward0>)
41 tensor(93557.1719, grad_fn=<MeanBackward0>)
42 tensor(93557.1719, grad_fn=<MeanBackward0>)
43 tensor(93557.1719, grad_fn=<MeanBackward0>)
44 tensor(93557.1719, grad_fn=<MeanBackward0>)
45 tensor(82977.5625, grad_fn=<MeanBackward0>)
46 tensor(82977.5625, grad_fn=<MeanBackward0>)
47 tensor(82977.5625, grad_fn=<MeanBackward0>)
48 tensor(82977.5625, grad_fn=<MeanBackward0>)
49 tensor(66366.0781, grad_fn=<MeanBackward0>)
50 tensor(66366.0781, grad_fn=<MeanBackward0>)
