88 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
89 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
90 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
91 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
92 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
93 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
94 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
95 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
96 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
97 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
98 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
99 tensor(6.7768, device='cuda:0', grad_fn=<MeanBackward0>)
0 tensor(8.0149, device='cuda:0', grad_fn=<MeanBackward0>)
