0 tensor(8.7202, device='cuda:0', grad_fn=<MeanBackward0>)
1 tensor(8.0912, device='cuda:0', grad_fn=<MeanBackward0>)
2 tensor(7.5184, device='cuda:0', grad_fn=<MeanBackward0>)
3 tensor(7.3912, device='cuda:0', grad_fn=<MeanBackward0>)
4 tensor(7.3912, device='cuda:0', grad_fn=<MeanBackward0>)
5 tensor(7.3912, device='cuda:0', grad_fn=<MeanBackward0>)
6 tensor(7.3443, device='cuda:0', grad_fn=<MeanBackward0>)
7 tensor(7.1058, device='cuda:0', grad_fn=<MeanBackward0>)
8 tensor(7.1058, device='cuda:0', grad_fn=<MeanBackward0>)
9 tensor(7.1058, device='cuda:0', grad_fn=<MeanBackward0>)
10 tensor(6.8989, device='cuda:0', grad_fn=<MeanBackward0>)
11 tensor(6.8989, device='cuda:0', grad_fn=<MeanBackward0>)
12 tensor(6.8989, device='cuda:0', grad_fn=<MeanBackward0>)
13 tensor(6.8989, device='cuda:0', grad_fn=<MeanBackward0>)
14 tensor(6.8989, device='cuda:0', grad_fn=<MeanBackward0>)
15 tensor(6.8989, device='cuda:0', grad_fn=<MeanBackward0>)
16 tensor(6.8989, device='cuda:0', grad_fn=<MeanBackward0>)
17 tensor(6.8989, device='cuda:0', grad_fn=<MeanBackward0>)
18 tensor(6.8989, device='cuda:0', grad_fn=<MeanBackward0>)
19 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
20 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
21 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
22 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
23 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
24 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
25 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
26 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
27 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
28 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
29 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
30 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
31 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
32 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
33 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
34 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
35 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
